Ranking,Title,Publisher,ISBN,Author
1,The Calamity Club,Spiegel & Grau,9781954118812,Kathryn Stockett
2,The Odyssey,Norton,9780393356250,"Homer, Emily Wilson (Transl.)"
3,Fruit Fly,Crooked Lane Books,9798892426374,Josh Silver
4,I Who Have Never Known Men,Transit Books,9781945492600,Jacqueline Harpman
5,The Birthing Tree,Catapult,9781646223695,Amanda Peters
6,The Poison Daughter,Slowburn,9781638935971,Sheila Masterson
7,John of John ,Grove Press,9780802167194,Douglas Stuart
8,The Unselected Journals of Emma M. Lion: Vol. 1,Rhysdon Press,9780998063614,Beth Brower
9,Stitched,Torrey House Press,9798890920461,Eli McCann
10,Heart the Lover,Grove Press,9780802165176,Lily King
11,Stoner,NYRB Classics,9781590171998,John Williams
12,The Unselected Journals of Emma M. Lion: Vol. 2,Rhysdon Press,9780998063621,Beth Brower
13,I See You've Called in Dead,Zibby Publishing,9798989923021,John Kenney
14,The Unselected Journals of Emma M. Lion: Vol. 3,Rhysdon Press,9780998063638,Beth Brower
15,The Unselected Journals of Emma M. Lion: Vol. 4,Rhysdon Press,9780998063645,Beth Brower
16,Small Things Like These,Grove Press,9780802158741,Claire Keegan
17,Sipsworth,David R. Godine Publisher,9781567928754,Simon Van Booy
18,On the Calculation of Volume (Book I),New Directions,9780811237253,"Solvej Balle, Barbara J. Haveland (Transl.)"
19,Helen of Nowhere,Coffee House Press,9781566897358,Makenna Goodman
20,Taiwan Travelogue,Graywolf Press,9781644453155,Shuang-zi Yang
21,Victorian Psycho: A Novel,Liveright,9781324097785,Virginia Feito
22,The Unselected Journals of Emma M. Lion: Vol. 5,Rhysdon Press,9780998063652,Beth Brower
23,The Unselected Journals of Emma M. Lion: Vol. 6,Rhysdon Press,9781957492001,Beth Brower
24,The True True Story of Raja the Gullible (and His Mother),Grove Press,9780802168436,Rabih Alameddine
25,Writers & Lovers,Grove Press,9780802148544,Lily King
26,Lights Out (Into Darkness Series #1),Slowburn,9781638932239,Navessa Allen
27,The Employees: A workplace novel of the 22nd century,New Directions,9780811234825,Olga Ravn
28,The Berry Pickers,Catapult,9781646222384,Amanda Peters
29,My Brilliant Friend,Europa Editions,9781609450786,Elena Ferrante
30,Hungerstone,Zando,9781638934028,Kat Dunn
31,Kindred,Beacon Press,9780807083697,Octavia E. Butler
32,The Overstory,Norton,9780393356687,Richard Powers
33,Orbital,Grove Press,9780802163622,Samantha Harvey
34,The Unselected Journals of Emma M. Lion: Vol. 7,Rhysdon Press,9781957492018,Beth Brower
35,"Carmilla, Deluxe Edition: The Dark Sapphic Romance that Inspired Dracula",Pushkin Press,9781805332121,Sheridan Le Fanu
36,Sunburn,Melville House,9781685892111,Chloe Michelle Howarth
37,The Unselected Journals of Emma M. Lion: Vol. 8,Rhysdon Press,9781957492032,Beth Brower
38,Slow Horses (Deluxe Edition) (Slough House #1),Soho Crime,9781641292979,Mick Herron
39,Game On,Slowburn,9781638932277,Navessa Allen
40,Harvest Season (The Seasons of Carnage Trilogy #2),Slowburn,9781638932123,Brynne Weaver
